"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.094621000E-2,9.798758507E0,4.162015915E-1,-3.309572935E-1
7.594621000E-2,9.773484230E0,3.862912953E-1,-3.454637825E-1
1.009462100E-1,9.734002113E0,2.905783951E-1,-3.909274042E-1
1.259462100E-1,9.769894600E0,5.035396218E-1,-3.550350666E-1
1.509462100E-1,9.768698692E0,4.377369881E-1,-3.237788081E-1
1.759462100E-1,9.799954414E0,3.743271828E-1,-4.232304990E-1
2.009462100E-1,9.669396400E0,5.262714028E-1,-3.118146956E-1
2.259462100E-1,9.796365738E0,6.652047038E-1,-3.430709541E-1
2.509462100E-1,9.814311981E0,7.082754970E-1,-3.753740489E-1
2.759462100E-1,9.875329018E0,6.376872063E-1,-2.268694937E-1
3.009462100E-1,9.608379364E0,5.682953596E-1,-2.615654171E-1
3.259462100E-1,9.823883057E0,4.592723846E-1,-3.237788081E-1
3.509462100E-1,9.737591743E0,4.843970239E-1,-2.555833757E-1
3.759462100E-1,9.742377281E0,6.759724021E-1,-2.807080150E-1
4.009462100E-1,9.668199539E0,6.747759581E-1,-3.309572935E-1
4.259462100E-1,9.681360245E0,5.419743061E-1,-2.400300205E-1
4.509462100E-1,9.826275826E0,6.257231236E-1,-2.603690028E-1
4.759462100E-1,9.688538551E0,5.850451589E-1,-3.861417472E-1
5.009462100E-1,9.622735977E0,4.748257399E-1,-4.136592150E-1
5.259462100E-1,9.726823807E0,4.808078110E-1,-4.627120793E-1
5.509462100E-1,9.635896683E0,2.690429986E-1,-6.207879186E-1
5.759462100E-1,9.736394882E0,2.833999395E-1,-5.033900738E-1
6.009462100E-1,9.805936813E0,4.353441596E-1,-5.368895531E-1
6.259462100E-1,9.754341125E0,3.180958629E-1,-3.957130313E-1
6.509462100E-1,9.769894600E0,2.270190418E-1,-4.579264224E-1
6.759462100E-1,9.689735413E0,9.541380405E-2,-4.244269133E-1
7.009462100E-1,9.689735413E0,4.006482363E-1,-5.620142221E-1
7.259462100E-1,9.789037704E0,3.432205021E-1,-5.105685592E-1
7.509462100E-1,9.754341125E0,3.695415556E-1,-4.411766827E-1
7.759462100E-1,9.769894600E0,5.706881881E-1,-3.873381615E-1
8.009462100E-1,9.774680138E0,9.189934731E-1,-1.933699846E-1
8.259462100E-1,9.704092026E0,1.273280740E0,-5.081757307E-1
8.509462100E-1,9.669396400E0,1.533051610E0,-1.921735704E-1
8.759462100E-1,9.819097519E0,1.376321673E0,-6.415756047E-2
9.009462100E-1,9.708877563E0,1.388285756E0,-2.065305114E-1
9.259462100E-1,9.677771568E0,1.494766355E0,-2.436192483E-1
9.509462100E-1,9.743574142E0,1.292423368E0,-4.663013220E-1
9.759462100E-1,9.744770050E0,9.931709766E-1,-5.021936297E-1
1.000946210E0,9.487392426E0,8.280661702E-1,-3.526422381E-1
1.025946210E0,9.780662537E0,5.178965330E-1,-4.974080026E-1
1.050946210E0,9.705288887E0,3.503989577E-1,-6.626623273E-1
1.075946210E0,9.789037704E0,6.939185858E-1,-4.962115884E-1
1.100946210E0,9.566504478E0,7.692924738E-1,-5.309075117E-1
1.125946210E0,9.739984512E0,6.675975323E-1,-6.626623273E-1
1.150946210E0,9.768698692E0,6.699903607E-1,-5.309075117E-1
1.175946210E0,9.676574707E0,6.077769399E-1,-4.686941206E-1
1.200946210E0,9.728020668E0,4.556831717E-1,-5.739783049E-1
1.225946210E0,9.762716293E0,7.226324677E-1,-3.849453330E-1
1.250946210E0,9.831061363E0,8.340482712E-1,-5.691927075E-1
1.275946210E0,9.598808289E0,7.597211599E-1,-3.538386524E-1
1.300946210E0,9.710074425E0,8.543872237E-1,-2.675474882E-1
1.325946210E0,9.684949875E0,9.010472894E-1,-4.866403043E-1
1.350946210E0,9.817900658E0,7.381857634E-1,-5.656034350E-1
1.375946210E0,9.726823807E0,6.149554253E-1,-4.686941206E-1
1.400946210E0,9.667003632E0,8.842974901E-1,-5.464608669E-1
1.425946210E0,9.637093544E0,6.879364848E-1,-5.045864582E-1
1.450946210E0,9.711270332E0,6.604190469E-1,-5.261218548E-1
1.475946210E0,9.749555588E0,6.699903607E-1,-4.220340848E-1
1.500946210E0,9.698110580E0,6.927221417E-1,-2.328515500E-1
1.525946210E0,9.761520386E0,6.113662124E-1,-1.419242918E-1
1.550946210E0,9.710074425E0,7.357929349E-1,-2.041376829E-1
1.575946210E0,9.787840843E0,7.776673436E-1,-3.022434115E-1
1.600946210E0,9.804739952E0,5.011467934E-1,-3.646063507E-1
1.625946210E0,9.708877563E0,4.341477454E-1,-4.148556292E-1
1.650946210E0,9.632308006E0,4.305585325E-1,-2.842972279E-1
1.675946210E0,9.833454132E0,6.017948985E-1,-4.292125702E-1
