"Time (s)","Pressure (hPa)"
5.685223000E-3,9.804016113E2
1.054362230E-1,9.803979492E2
2.049602230E-1,9.803198242E2
3.044762230E-1,9.800742188E2
4.040072230E-1,9.799304199E2
5.035502230E-1,9.798676758E2
6.030878230E-1,9.798930664E2
7.026186560E-1,9.799760742E2
8.021427980E-1,9.801008301E2
9.016691730E-1,9.802243652E2
1.001195617E0,9.803515625E2
1.100721517E0,9.804643555E2
1.200247517E0,9.806154785E2
1.299777183E0,9.806677246E2
1.399306875E0,9.806645508E2
1.498839089E0,9.806472168E2
1.598368689E0,9.806042480E2
1.697898001E0,9.805405273E2
1.797424118E0,9.804699707E2
1.896949840E0,9.803850098E2
1.996474576E0,9.804042969E2
2.095999876E0,9.805114746E2
2.195524733E0,9.804702148E2
2.295049596E0,9.804670410E2
2.394575030E0,9.804401855E2
2.494101405E0,9.804350586E2
2.593627325E0,9.804611816E2
2.693153555E0,9.805151367E2
2.792679184E0,9.805454102E2
2.892208398E0,9.805195312E2
2.991739260E0,9.804736328E2
3.091271226E0,9.804123535E2
3.190806892E0,9.804028320E2
3.290346158E0,9.803867188E2
3.389886891E0,9.803637695E2
3.489429124E0,9.803327637E2
3.588971924E0,9.803491211E2
3.688517124E0,9.803574219E2
3.788063590E0,9.803278809E2
3.887610490E0,9.803425293E2
3.987157056E0,9.803442383E2
4.086702856E0,9.803320312E2
4.186247822E0,9.803740234E2
4.285790122E0,9.803586426E2
4.385333155E0,9.803964844E2
4.484875955E0,9.804755859E2
4.584419788E0,9.806242676E2
4.683965954E0,9.808657227E2
4.783513820E0,9.810649414E2
4.883062686E0,9.810295410E2
4.982612319E0,9.808261719E2
5.082163252E0,9.805571289E2
5.181716118E0,9.802985840E2
5.281271218E0,9.801613770E2
5.380827884E0,9.800908203E2
5.480388684E0,9.800820312E2
5.579954717E0,9.800810547E2
5.679524050E0,9.800751953E2
5.779098550E0,9.800876465E2
5.878674550E0,9.801120605E2
5.978250950E0,9.801440430E2
6.077830116E0,9.801872559E2
6.177407316E0,9.801872559E2
6.276984049E0,9.801989746E2
6.376561215E0,9.802421875E2
6.476137781E0,9.802421875E2
6.575716847E0,9.802661133E2
6.675296480E0,9.802980957E2
6.774878446E0,9.802980957E2
6.874464046E0,9.803110352E2
6.974054612E0,9.803300781E2
7.073649512E0,9.803300781E2
7.173249178E0,9.803459473E2
7.272855044E0,9.804016113E2
7.372461777E0,9.804016113E2
7.472070510E0,9.804160156E2
7.571682043E0,9.804453125E2
7.671294876E0,9.804453125E2
7.770911609E0,9.804453125E2
7.870529509E0,9.804338379E2
7.970150242E0,9.804338379E2
8.069773308E0,9.804357910E2
8.169400008E0,9.804565430E2
8.269029141E0,9.804565430E2
8.368658974E0,9.804409180E2
8.468288107E0,9.804257812E2
8.567915873E0,9.804257812E2
8.667544939E0,9.803950195E2
8.767172372E0,9.803547363E2
8.866798905E0,9.803547363E2
8.966426605E0,9.803481445E2
9.066052638E0,9.803493652E2
9.165681538E0,9.803493652E2
9.265311804E0,9.803857422E2
9.364941170E0,9.803981934E2
9.464571803E0,9.803981934E2
9.564202803E0,9.803959961E2
9.663835503E0,9.804069824E2
9.763470103E0,9.804069824E2
9.863103703E0,9.804060059E2
9.962734236E0,9.804113770E2
1.006236474E1,9.804113770E2
1.016199177E1,9.804182129E2
1.026161557E1,9.804226074E2
1.036123970E1,9.804226074E2
1.046086347E1,9.804599609E2
1.056048800E1,9.804575195E2
1.066011100E1,9.804543457E2
1.075973150E1,9.804655762E2
1.085935407E1,9.804755859E2
1.095897557E1,9.804611816E2
1.105859710E1,9.804609375E2
1.115821533E1,9.804707031E2
1.125783497E1,9.804790039E2
1.135745157E1,9.805136719E2
1.145706430E1,9.805312500E2
1.155667550E1,9.805324707E2
1.165628370E1,9.804956055E2
1.175589210E1,9.804431152E2
1.185549810E1,9.804306641E2
1.195510400E1,9.804558105E2
1.205471030E1,9.804370117E2
1.215431336E1,9.804279785E2
1.225391590E1,9.804411621E2
1.235351970E1,9.804011230E2
1.245312413E1,9.803569336E2
1.255272790E1,9.803432617E2
1.265233180E1,9.803083496E2
1.275193263E1,9.802707520E2
1.285153236E1,9.802465820E2
1.295113663E1,9.802968750E2
1.305074076E1,9.803588867E2
1.315034730E1,9.803803711E2
1.324995603E1,9.803723145E2
1.334956553E1,9.803674316E2
1.344917549E1,9.803979492E2
1.354878473E1,9.804086914E2
1.364839359E1,9.803916016E2
1.374800163E1,9.803820801E2
1.384760746E1,9.804038086E2
1.394721399E1,9.803754883E2
1.404681796E1,9.803288574E2
1.414642346E1,9.802619629E2
1.424602389E1,9.802141113E2
1.434562706E1,9.801867676E2
1.444523109E1,9.801936035E2
1.454483432E1,9.802058105E2
1.464443882E1,9.802424316E2
1.474404169E1,9.802514648E2
1.484364452E1,9.802783203E2
1.494324366E1,9.802714844E2
1.504284252E1,9.802648926E2
1.514244045E1,9.802807617E2
1.524203805E1,9.803308105E2
1.534163275E1,9.803798828E2
1.544122329E1,9.804477539E2
1.554081205E1,9.804738770E2
1.564039799E1,9.804702148E2
1.573998375E1,9.804194336E2
