Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.175233722,0.036925316,0.225325495
0.01,-0.248998046,-0.039370537,0.179987967
0.02,-0.206993997,-0.055727005,0.018362612
0.03,-0.202973068,-0.055212021,0.023447365
0.04,-0.199869096,-0.157637596,-0.317366391
0.05,-0.127761006,-0.097287178,-0.270400047
0.06,-0.092644811,-0.118503571,-0.136563301
0.07,-0.091868877,-0.11831665,-0.134070337
0.08,-0.167320311,-0.173318863,-0.0028283
0.09,-0.200679541,-0.04661274,0.039036542
0.1,-0.120048106,-0.008651733,0.009158581
0.11,-0.058464885,-0.004455566,0.114005953
0.12,-0.062653422,-0.005238533,0.103925288
0.13,-0.029189229,-0.116372109,0.726842284
0.14,-0.033051968,-0.117245674,0.713314652
0.15,-0.001613379,-0.079537392,0.209960178
0.16,-0.060301185,-0.012901306,-0.029447794
0.17,0.005927563,0.008365631,0.25245136
0.18,0.004571676,0.007980347,0.245852664
0.19,0.115145087,0.093726158,0.664268792
0.2,0.070168018,0.086073875,0.519695401
0.21,-0.080959499,0.054755211,0.273562253
0.22,-0.077795625,0.045166969,0.054450482
0.23,-0.077014923,0.045272827,0.05538103
0.24,-0.106828034,0.045444489,0.03626591
0.25,-0.106204987,0.045610428,0.039296091
0.26,0.032520294,0.045729637,0.154723883
0.27,0.042233825,0.045842171,0.279685527
0.28,0.032574117,-0.054545403,0.106278777
0.29,0.032449186,-0.05432415,0.111502081
0.3,-0.001099765,-0.092469215,0.15644604
0.31,-0.14487499,-0.094707489,0.281870037
0.32,-0.058230102,-0.075428963,0.243683159
0.33,-0.139187932,-0.010650635,0.169537127
0.34,-0.216885567,-0.034343719,0.144187897
0.35,-0.260204971,-0.00053215,0.05195266
0.36,-0.310065806,-0.007338524,0.108540088
0.37,-0.234721243,-0.002175331,0.061638862
0.38,-0.16218555,0.026898384,0.026167721
0.39,-0.106730104,0.039138794,0.133819997
0.4,-0.12333405,0.048938751,0.211367935
0.41,-0.121217787,0.049077988,0.211439848
0.42,-0.076313794,0.049163818,0.280026823
0.43,-0.096032143,0.049245834,0.327213258
0.44,0.025868773,-0.022437096,0.219428212
0.45,-0.034730434,-0.024671555,0.196681976
0.46,-0.061484635,-0.048417091,0.296181142
0.47,0.060122788,-0.067410469,0.22716859
0.48,0.056333065,-0.074489594,0.273779154
0.49,-0.004671514,-0.083921433,0.33468467
0.5,-0.003416717,-0.083820343,0.335333467
0.51,-0.026051998,-0.11471653,-0.016233355
0.52,-0.126971901,0.010036469,0.084133238
0.53,0.015747488,-0.037666321,0.181910902
0.54,0.027462006,-0.020817757,0.279770374
0.55,0.119716406,-0.193207741,0.422540635
0.56,0.056366682,-0.166955948,0.465662152
0.57,-0.065981328,-0.119117737,0.174910963
0.58,-0.146464527,-0.013708115,-0.131177485
0.59,-0.145176411,-0.013528824,-0.129318118
0.6,-0.182952642,0.051196098,-0.128526092
0.61,-0.198325515,0.074985504,0.128187478
0.62,-0.144135594,-0.016185761,0.393739283
0.63,-0.235004306,-0.073750496,0.16166538
0.64,-0.195382059,-0.157523155,0.071743339
0.65,-0.133560062,-0.159828186,-0.029706419
0.66,-0.071765006,-0.128599167,0.027201444
0.67,-0.079549909,-0.07585907,0.274908364
0.68,0.058334768,-0.083034515,0.442933232
0.69,0.262323707,-0.059147835,0.412319779
0.7,0.091739953,0.026978493,0.131711483
0.71,0.092430949,0.027171135,0.134725273
0.72,-0.064574718,-0.00370121,0.040440649
0.73,-0.016174138,-0.003450394,-0.014772773
0.74,0.007137001,0.027893066,-5.01275E-05
0.75,0.013208866,0.049599648,0.05768761
0.76,-0.100632906,0.052093506,0.109535009
0.77,-0.197013855,0.107322693,0.12779358
0.78,-0.232827067,0.066813469,0.095594674
0.79,-0.201360285,0.067019463,0.159192503
0.8,-0.200690746,0.067198753,0.161701262
0.81,-0.199323654,0.036223412,0.203314632
0.82,-0.204693556,-0.00435257,0.241593778
0.83,-0.219410181,-0.044981956,0.288217306
0.84,-0.047864914,-0.080843925,0.050167024
0.85,-0.068593562,0.005365372,0.169282794
0.86,-0.067636013,0.005367279,0.167854816
0.87,-0.015923381,-0.009000778,0.311676204
0.88,-0.016631424,0.005392075,0.293419302
0.89,0.009632707,0.007961273,0.195298493
0.9,0.026179731,0.053695679,0.156289756
0.91,0.066178143,0.051577568,0.111741871
0.92,-0.014185488,0.030319214,0.125548571
0.93,-0.012756884,0.030640602,0.129832536
0.94,-0.236148655,0.047765732,-0.069125056
0.95,-0.258558631,0.055272102,-0.031383753
0.96,-0.054143012,0.029214859,0.17160219
0.97,0.088591754,-0.078409195,0.46216628
0.98,0.036157072,-0.15986824,0.440287471
0.99,0.015503645,-0.198176384,0.303171903
1,0.01480931,-0.198167801,0.304286629
1.01,-0.080388546,-0.222005844,0.190691233
1.02,-0.163476169,-0.078103065,-0.356506467
