Time (s);X (m/s^2);Y (m/s^2);Z (m/s^2);absolute;sliding average
21858916,62;69896446,47;-1,91E+08;-1,42E+08;69896446,47;48926942,42
46694916,67;-14971210,96;1,64E+07;5,68E+07;14971210,96;45119381,77
71525916,57;-88390604,85;-3,58E+07;4,50E+07;88390604,85;51287901,92
96361916,63;-65450808,41;-1,09E+08;-2,72E+07;65450808,41;44627996,39
121192916,60;-60064353,35;-1,22E+08;-3,61E+06;60064353,35;45782090,58
146028916,60;-36668474,08;-1,70E+08;4,80E+07;36668474,08;45530733,39
170859916,60;-19882287,38;-1,10E+08;6,37E+06;19882287,38;40986642,84
195695916,70;-36091353,89;3,44E+07;-8,14E+07;36091353,89;47509211,9
220526916,70;-39435961,25;-4,09E+05;-5,82E+07;39435961,25;47872388,96
245362916,60;-64319372,18;5,20E+07;3,74E+07;64319372,18;47252714,04
270193916,60;-35111360,55;4,39E+07;2,54E+07;35111360,55;49490508,44
295029916,60;-74683561,92;2,43E+07;2,46E+07;74683561,92;47967503,67
319859916,60;-58053495,88;6,02E+07;-2,08E+07;58053495,88;47145580,05
344696916,60;315749,65;1,12E+08;-8,36E+07;315749,6452;40506846,31
369526916,60;-72062839,87;7,20E+07;-1,30E+08;72062839,87;44439553,62
394363916,60;1105708,48;7,76E+07;-9,89E+07;1105708,48;42353267,07
419193916,60;-113597951,50;-1,02E+07;-2,46E+07;113597951,5;50965111,25
444030916,70;-44022517,20;5,96E+07;-3,33E+07;44022517,2;51474728,58
468860916,70;-55499432,09;3,20E+07;-1,66E+07;55499432,09;50494735,24
493697916,60;-43966968,66;-3,26E+07;-7,92E+07;43966968,66;51478691,69
518527916,60;-34408525,23;-7,09E+07;-7,81E+07;34408525,23;47003687,62
543363916,60;-53456414,94;-9,79E+07;-2,90E+07;53456414,94;46492900,85
568194916,60;-56686416,86;-8,36E+07;3,42E+07;56686416,86;52756308,31
593030916,60;-90913093,69;-7,59E+07;5,00E+07;90913093,69;54850780,96
617861916,70;-59597745,54;-2,88E+07;3,31E+07;59597745,54;61349896,19
642697916,60;-38761192,56;7,12E+07;2,57E+07;38761192,56;53034700,75
667528916,60;-77704233,53;6,28E+07;1,36E+07;77704233,53;56777113,68
692364916,70;-68166255,35;1,12E+08;-3,52E+06;68166255,35;58184538,48
717195916,60;-60461379,29;9,83E+07;-2,25E+06;60461379,29;60017250,78
742031916,60;-55761972,07;-1,13E+06;2,27E+06;55761972,07;62389855,98
766862916,60;-14126288,29;-5,19E+06;1,87E+07;14126288,29;58019841,91
791698916,60;-27536877,39;-9,67E+07;-5,18E+07;27536877,39;54781004,19
816529916,60;-46301177,14;-1,51E+08;-3,96E+07;46301177,14;49824124,57
841365916,70;-18998773,10;-1,35E+08;5,02E+06;18998773,1;45313127,64
866196916,70;-12777335,64;-1,10E+08;-9,17E+06;12777335,64;42426032,42
891032916,60;-44245296,12;-6,35E+07;-5,13E+07;44245296,12;38708372,71
915863916,60;-49332373,74;2,53E+06;-3,24E+07;49332373,74;36615719,2
940699916,60;-36116496,92;1,06E+08;-1,70E+07;36116496,92;33910732,27
965530916,60;-64717567,56;1,27E+08;-5,04E+06;64717567,56;34905798,43
990367416,60;-53663406,37;1,28E+08;-2,10E+07;53663406,37;39298811,55
1015198417,00;-33231480,72;7,54E+07;-4,25E+07;33231480,72;39931545,26
