 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.230250027E-3,-3.556276560E-2,8.165402770E-2,7.575652599E-3
3.406224999E-2,-1.555359364E-1,-7.672131658E-3,-1.082366395E-1
5.890125001E-2,-2.127497721E-1,-5.983645812E-2,-1.704439608E-1
8.373325004E-2,-1.364284050E-1,1.576584756E-2,-1.186551353E-1
1.085722500E-1,-1.147866905E-1,9.273684025E-4,-5.016443253E-2
1.334042500E-1,-8.597687423E-2,-7.704993010E-2,-6.120865345E-3
1.582432500E-1,-1.198457015E-1,1.054615510E-1,1.081793368E-1
1.830752500E-1,-1.150065458E-1,3.828069761E-2,4.819746573E-2
2.079142500E-1,-1.577865297E-1,-9.039049879E-2,-3.106738966E-2
2.327462500E-1,5.683493614E-4,-1.556379703E-1,-9.126334190E-2
2.575852500E-1,1.726688629E-1,8.250567466E-2,1.828085196E-1
2.824172500E-1,-2.834437788E-2,3.545250173E-1,2.290331348E-1
3.072562500E-1,-1.746358663E-1,3.623423061E-1,1.834680124E-1
3.320882500E-1,-1.162414777E-1,7.428712070E-2,3.206296583E-1
3.569272500E-1,4.394942701E-2,-2.321416242E-1,4.090548714E-1
3.817592500E-1,3.290988386E-2,-5.625938009E-1,7.902348963E-1
4.065982500E-1,-5.205308318E-2,-8.883782914E-1,9.873562304E-1
4.314302500E-1,-2.921467745E-1,-8.964439407E-1,7.828392649E-1
4.562692500E-1,-3.253379095E-1,-5.454361698E-1,5.149560964E-1
4.811017500E-1,-4.487381333E-1,-4.221825649E-1,5.428660993E-1
5.059407500E-1,2.787174743E-1,-4.193345323E-2,1.723871441E0
5.307727500E-1,3.383526421E-1,2.174170196E-2,1.583761337E0
5.556117500E-1,3.603440201E-1,-4.997270232E-1,1.701687105E0
5.804437500E-1,-8.164876521E-2,-4.623163913E-1,1.315201353E0
6.052827500E-1,-4.819742918E-1,-5.702568693E-1,8.749224595E-1
6.301147500E-1,-4.306942105E-1,-7.170949262E-1,9.196268351E-1
6.549537500E-1,-3.218716800E-1,-6.394614440E-1,8.866599409E-1
6.797857500E-1,2.776614672E-1,-6.436593063E-1,6.379299121E-1
7.046247500E-1,-4.695343405E-1,1.341510607E-1,-4.073623583E-2
7.294567500E-1,-6.249843228E-1,-4.303653046E-2,-1.700275294E-1
7.542957500E-1,-3.369294298E-1,-6.054945298E-1,-3.313146409E-1
7.791277500E-1,-1.013492042E-1,-4.662169227E-1,-2.761963011E-1
8.039667500E-1,1.074303085E-1,-1.434494492E-1,8.595290065E-2
8.287987500E-1,3.775781035E-2,-6.408109814E-2,-1.401963508E-1
8.536377500E-1,-1.073507863E-1,5.472746075E-1,-8.177152750E-1
8.784697500E-1,-6.130448931E-1,3.801361142E-1,-1.386651405E0
9.033087500E-1,-6.800194860E-1,1.335253356E-1,-1.484252251E0
9.281407500E-1,-4.379055816E-1,-1.809267760E-1,-8.355513293E-1
9.529797500E-1,-2.561010289E-1,-3.959468026E-1,-1.545255083E0
9.778117500E-1,-5.164757878E-1,-1.704627085E-1,-9.621148968E-1
1.002650750E0,-2.045964146E-1,2.637380773E-1,-8.193258905E-1
1.027482750E0,-1.340094119E-1,6.143263105E-1,-7.066161311E-1
1.052321750E0,-2.948452646E-1,5.759136119E-1,-8.735620317E-1
1.077153750E0,-6.467780650E-1,8.490858793E-2,-6.958864903E-1
1.101992750E0,2.231882215E-2,-1.671847959E-1,-5.694787511E-1
1.126824750E0,-2.565524340E-2,1.238671240E-1,-6.962080872E-1
1.151663750E0,-7.386582881E-1,-1.746820593E-1,-3.712736356E-1
1.176495750E0,-6.126040131E-1,-1.373994083E-1,-2.655556843E-1
1.201334750E0,-2.839431310E-1,2.122720546E-1,-4.884190929E-1
1.226166750E0,-2.893032736E-1,-4.164153099E-2,-1.567217517E-1
1.251005750E0,3.320540214E-1,-5.096266517E-1,-1.147200322E-1
1.275837750E0,-1.894907176E-2,-1.345806118E0,4.241339269E-1
1.300676750E0,-3.305296522E-1,-1.890039954E0,9.086280763E-2
1.325508750E0,1.180061674E-1,-1.524693495E0,-1.299318561E-1
1.350347750E0,3.295689547E-1,-1.466032766E0,-9.602405718E-1
1.375179750E0,2.977963543E-1,-1.384676215E0,-5.090609336E-1
1.400017750E0,1.864098197E-1,-1.906802167E0,6.906468004E-2
1.424850750E0,1.291275716E0,-3.017954697E0,-4.466454148E-2
1.449688750E0,1.037861483E0,-3.688380364E0,-4.337762779E-1
1.474521250E0,1.347107270E0,-4.547511760E0,-4.310275018E-3
1.499359250E0,1.768488035E0,-5.853744653E0,2.566226006E-2
1.524192250E0,2.080727012E0,-6.553328923E0,3.786762106E-1
1.549030250E0,2.304521005E0,-6.689200088E0,1.543737438E0
1.573863250E0,1.916115028E0,-6.821244836E0,1.563468575E0
1.598701250E0,2.789995440E0,-4.712168476E0,3.110172597E0
1.623534250E0,2.279748691E0,-3.184320846E0,3.368377454E0
1.648372250E0,-3.206344092E-1,-1.543971034E0,4.510578699E-1
1.673205250E0,1.304525506E-1,8.861627083E-2,-1.299336541E0
1.698043250E0,3.061310924E0,2.140825279E0,-1.009271668E0
1.722876250E0,3.269195228E0,3.219421974E0,-1.418209266E0
1.747714250E0,1.816479642E0,-1.788857688E-1,-2.616164736E0
1.772547250E0,1.076673546E0,1.149163525E0,-2.345694759E0
1.797385250E0,2.632714695E-1,3.448931621E0,-2.935855404E0
1.822218250E0,3.420282018E-1,4.484140221E0,-2.623816402E0
1.847056250E0,-6.573246878E-1,4.470072698E0,-2.426893873E0
